limited  lˈɪmɪɾᵻd
probably  pɹˈɑːbəbli

neither  nˈiːðɚ

reading  ɹˈiːdɪŋ

conditions  kəndˈɪʃənz

across  əkɹˈɑːs

available  ɐvˈeɪləbəl

we  wˈiː

men  mˈɛn

terms  tˈɜːmz

hundred  hˈʌndɹəd

nature  nˈeɪtʃɚ

importance  ɪmpˈoːɹtəns

court  kˈoːɹt

however  haʊˈɛvɚ

stress  stɹˈɛs

job  dʒˈɑːb

cut  kˈʌt

french  fɹˈɛntʃ

extent  ɛkstˈɛnt

police  pəlˈiːs

cities  sˈɪɾiz

come  kˈʌm

suggested  sədʒˈɛstᵻd

both  bˈoʊθ

c  sˈiː

feeling  fˈiːlɪŋ

last  lˈæst

brown  bɹˈaʊn

reported  ɹɪpˈoːɹɾᵻd

country  kˈʌntɹi

taking  tˈeɪkɪŋ

hours  ˈaɪʊɹz

according  ɐkˈoːɹdɪŋ

against  ɐɡˈɛnst

foreign  fˈɔːɹən

s  ˈɛs

became  bɪkˈeɪm

figures  fˈɪɡjɚz

whole  hˈoʊl

asked  ˈæskt

can't  kˈænt

among  ɐmˈʌŋ

point  pˈɔɪnt

wall  wˈɔːl

seems  sˈiːmz

period  pˈiəɹɪəd

community  kəmjˈuːnɪɾi

running  ɹˈʌnɪŋ

simply  sˈɪmpli

couldn't  kˈʊdənt

church  tʃˈɜːtʃ

table  tˈeɪbəl

labor  lˈeɪbɚ

factors  fˈæktɚz

appeared  ɐpˈɪɹd

speak  spˈiːk

late  lˈeɪt

described  dɪskɹˈaɪbd

basis  bˈeɪsɪs

union  jˈuːniən

it's  ˈɪts

political  pəlˈɪɾɪkəl

three  θɹˈiː

been  bˈɪn

whom  hˈuːm

much  mˈʌtʃ

slowly  slˈoʊli

interest  ˈɪntɹəst

basic  bˈeɪsɪk

expected  ɛkspˈɛktᵻd

meeting  mˈiːɾɪŋ

treatment  tɹˈiːtmənt

firm  fˈɜːm

life  lˈaɪf

lived  lˈɪvd

received  ɹɪsˈiːvd

fire  fˈaɪɚ

mind  mˈaɪnd

designed  dɪzˈaɪnd

else  ˈɛls

language  lˈæŋɡwɪdʒ

whatever  wʌtˈɛvɚ

understand  ˌʌndɚstˈænd

child  tʃˈaɪld

worked  wˈɜːkt

an  ˈɐn

spirit  spˈɪɹɪt

present  pɹˈɛzənt

aid  ˈeɪd

case  kˈeɪs

myself  maɪsˈɛlf

east  ˈiːst

look  lˈʊk

these  ðˈiːz

straight  stɹˈeɪt

bill  bˈɪl

single  sˈɪŋɡəl

value  vˈæljuː

air  ˈɛɹ

will  wˈɪl

while  wˈaɪl

many  mˈɛni

situation  sˌɪtʃuːˈeɪʃən

voice  vˈɔɪs

wouldn't  wˈʊdənt

seven  sˈɛvən

century  sˈɛntʃɚɹi

almost  ˈɔːlmoʊst

is  ˈɪz

thus  ðˈʌs

it  ˈɪt

surface  sˈɜːfɪs

middle  mˈɪdəl

itself  ɪtsˈɛlf

in  ˈɪn

ready  ɹˈɛdi

activity  æktˈɪvɪɾi

if  ˈɪf

different  dˈɪfɹənt

education  ˌɛdʒuːkˈeɪʃən

perhaps  pɚhˈæps

things  θˈɪŋz

began  bɪɡˈæn

administration  ɐdmˌɪnɪstɹˈeɪʃən

expect  ɛkspˈɛkt

same  sˈeɪm

clearly  klˈɪɹli

member  mˈɛmbɚ

parts  pˈɑːɹts

party  pˈɑːɹɾi

several  sˈɛvɹəl

difficult  dˈɪfɪkəlt

week  wˈiːk

used  jˈuːzd

moved  mˈuːvd

fiscal  fˈɪskəl

hardly  hˈɑːɹdli

island  ˈaɪlənd

upon  əpˈɑːn

effect  ɪfˈɛkt

hand  hˈænd

usually  jˈuːʒuːəli

moment  mˈoʊmənt

moving  mˈuːvɪŋ

purpose  pˈɜːpəs

student  stˈuːdənt

opportunity  ɑːpɚtˈuːnɪɾi

recent  ɹˈiːsənt

dark  dˈɑːɹk

lower  lˈoʊɚ

farm  fˈɑːɹm

off  ˈɔf

center  sˈɛntɚ

programs  pɹˈoʊɡɹæmz

i  ˈaɪ

try  tɹˈaɪ

floor  flˈoːɹ

well  wˈɛl

analysis  ɐnˈæləsˌɪs

obviously  ˈɑːbvɪəsli

thought  θˈɔːt

person  pˈɜːsən

without  wɪðˈaʊt

comes  kˈʌmz

mother  mˈʌðɚ

position  pəzˈɪʃən

the  ðˈə

soviet  sˈoʊviət

left  lˈɛft

summer  sˈʌmɚ

just  dʒˈʌst

less  lˈɛs

being  bˈiːɪŋ

money  mˈʌni

half  hˈæf

rest  ɹˈɛst

front  fɹˈʌnt

human  hjˈuːmən

behind  bɪhˈaɪnd

followed  fˈɑːloʊd

yes  jˈɛs

yet  jˈɛt

death  dˈɛθ

equipment  ɪkwˈɪpmənt

thinking  θˈɪŋkɪŋ

had  hˈæd

except  ɛksˈɛpt

hall  hˈɔːl

simple  sˈɪmpəl

book  bˈʊk

board  bˈoːɹd

easy  ˈiːzi

has  hˈæz

gave  ɡˈeɪv

real  ɹˈiːəl

march  mˈɑːɹtʃ

around  ɐɹˈaʊnd

government  ɡˈʌvɚnmənt

read  ɹˈiːd

big  bˈɪɡ

couple  kˈʌpəl

possible  pˈɑːsəbəl

early  ˈɜːli

test  tˈɛst

game  ɡˈeɪm

five  fˈaɪv

know  nˈoʊ

average  ˈævɹɪdʒ

world  wˈɜːld

color  kˈʌlɚ

d  dˈiː

county  kˈaʊnti

necessary  nˈɛsəsɚɹi

like  lˈaɪk

lost  lˈɔst

kennedy  kˈɛnədi

schools  skˈuːlz

specific  spəsˈɪfɪk

audience  ˈɔːdiəns

continue  kəntˈɪnjuː

steps  stˈɛps

either  ˈiːðɚ

night  nˈaɪt

become  bɪkˈʌm

works  wˈɜːks

because  bɪkˈʌz

old  ˈoʊld

often  ˈɔfən

deal  dˈiːl

people  pˈiːpəl

staff  stˈæf

spring  spɹˈɪŋ

some  sˈʌm

back  bˈæk

dead  dˈɛd

oh  ˈoʊ

hair  hˈɛɹ

born  bˈɔːɹn

economic  ˌiːkənˈɑːmɪk

respect  ɹɪspˈɛkt

home  hˈoʊm

provided  pɹəvˈaɪdᵻd

throughout  θɹuːˈaʊt

recently  ɹˈiːsəntli

for  fˈɔːɹ

decision  dᵻsˈɪʒən

shall  ʃˈæl

per  pˈɜː

everything  ˈɛvɹɪθˌɪŋ

does  dˈʌz

pattern  pˈætɚn

be  bˈiː

who  hˈuː

run  ɹˈʌn

business  bˈɪznəs

agreement  ɐɡɹˈiːmənt

paper  pˈeɪpɚ

pressure  pɹˈɛʃɚ

step  stˈɛp

although  ɑːlðˈoʊ

served  sˈɜːvd

eye  ˈaɪ

by  bˈaɪ

stage  stˈeɪdʒ

on  ˈɑːn

about  ɐbˈaʊt

central  sˈɛntɹəl

working  wˈɜːkɪŋ

anything  ˈɛnɪθˌɪŋ

getting  ɡˈɛɾɪŋ

of  ˈʌv

industry  ˈɪndʌstɹi

months  mˈʌnθs

meaning  mˈiːnɪŋ

addition  ɐdˈɪʃən

range  ɹˈeɪndʒ

stand  stˈænd

act  ˈækt

efforts  ˈɛfɚts

or  ˈɔːɹ

road  ɹˈoʊd

own  ˈoʊn

letters  lˈɛɾɚz

final  fˈaɪnəl

press  pɹˈɛs

into  ˈɪntʊ

within  wɪðˈɪn

washington  wˈɑːʃɪŋtən

son  sˈʌn

down  dˈaʊn

services  sˈɜːvɪsᵻz

right  ɹˈaɪt

cent  sˈɛnt

determine  dɪtˈɜːmɪn

your  jˈʊɹ

methods  mˈɛθədz

story  stˈoːɹi

additional  ɐdˈɪʃənəl

her  hˈɜː

area  ˈɛɹiə

support  səpˈoːɹt

there  ðˈɛɹ

question  kwˈɛstʃən

long  lˈɑːŋ

class  klˈæs

start  stˈɑːɹt

low  lˈoʊ

way  wˈeɪ

series  sˈɪɹiz

forward  fˈoːɹwɚd

call  kˈɔːl

was  wˈʌz

war  wˈɔːɹ

function  fˈʌŋkʃən

building  bˈɪldɪŋ

head  hˈɛd

himself  hɪmsˈɛlf

north  nˈɔːɹθ

complete  kəmplˈiːt

form  fˈɔːɹm

i've  ˈaɪv

sound  sˈaʊnd

but  bˈʌt

volume  vˈɑːljuːm

boys  bˈɔɪz

hear  hˈɪɹ

line  lˈaɪn

trying  tɹˈaɪɪŋ

with  wˈɪð

he  hˈiː

afternoon  ˌæftɚnˈuːn

made  mˈeɪd

whether  wˈɛðɚ

wish  wˈɪʃ

inside  ɪnsˈaɪd

j  dʒˈeɪ

up  ˈʌp

us  ˈʌs

tell  tˈɛl

record  ɹˈɛkɚd

below  bɪlˈoʊ

growth  ɡɹˈoʊθ

division  dɪvˈɪʒən

problem  pɹˈɑːbləm

piece  pˈiːs

minutes  mˈɪnɪts

called  kˈɔːld

distance  dˈɪstəns

gone  ɡˈɔn

sometimes  sˈʌmtaɪmz

certain  sˈɜːtən

am  ˈæm

direction  dɚɹˈɛkʃən

deep  dˈiːp

general  dʒˈɛnɚɹəl

as  ˈæz

at  ˈæt

mrs  mˈɪsɪz

operation  ˌɑːpɚɹˈeɪʃən

physical  fˈɪzɪkəl

again  ɐɡˈɛn

maybe  mˈeɪbiː

no  nˈoʊ

peace  pˈiːs

when  wˈɛn

green  ɡɹˈiːn

field  fˈiːld

other  ˈʌðɚ

normal  nˈoːɹməl

income  ˈɪnkʌm

department  dɪpˈɑːɹtmənt

you  jˈuː

really  ɹˈiəli

you're  jˈʊɹ

poor  pˈʊɹ

picture  pˈɪktʃɚ

elements  ˈɛlɪmənts

congress  kˈɑːnɡɹəs

living  lˈɪvɪŋ

students  stˈuːdənts

felt  fˈɛlt

problems  pɹˈɑːbləmz

stay  stˈeɪ

william  wˈɪljəm

chance  tʃˈæns

important  ɪmpˈoːɹtənt

influence  ˈɪnfluːəns

friends  fɹˈɛndz

pool  pˈuːl

ago  ɐɡˈoʊ

land  lˈænd

e  ˈiː

longer  lˈɑːŋɡɚ

using  jˈuːzɪŋ

wife  wˈaɪf

age  ˈeɪdʒ

required  ɹɪkwˈaɪɚd

together  təɡˈɛðɚ

mass  mˈæs

came  kˈeɪm

time  tˈaɪm

far  fˈɑːɹ

serious  sˈiəɹɪəs

having  hˈævɪŋ

once  wˈʌns

